[ episodes with no victims (part of a series): 150,151 -- no episode # for "Baby It's You Part 2", which would be #163b ]
[ 10,212 -- not sure whether male or female perp ]
[ 14,309 -- self-inflicted, not really sure if there is a crime at all! ]
[ 15,345 -- counts main victim as well as Det Greene and his shooter ]
[ 18,395 -- doubled up on the DVD (ech) starting at around 42' ]
[ 19,424 -- perp left unknown gender at end of episode ]
season,episode,victim,perpetrator
1,1,
1,2,
1,3,
1,4,
1,5,
1,6,
1,7,
1,8,
1,9,
1,10,
1,11,
1,12,
1,13,
1,14,
1,15,
1,16,
1,17,
1,18,
1,19,
1,20,
1,21,
1,22,
2,23,
2,24,
2,25,
2,26,
2,27,
2,28,
2,29,
2,30,
2,31,
2,32,
2,33,
2,34,
2,35,
2,36,
2,37,
2,38,
2,39,female,male
2,40,male,both
2,41,male,male
2,42,male,both (unsure who)
2,43,male,male
2,44,male,male
3,45,male,female
3,46,male,male
3,47,female,male
3,48,male,male
3,49,female,both
3,50,female,male
3,51,male,male
3,52,both,male
3,53,male,female
3,54,both,male
3,55,female,male
3,56,female,both
3,57,female,male
3,58,female,both
3,59,female,female
3,60,female,male
3,61,female,male
3,62,female,female
3,63,both,male
3,64,male,male
3,65,male,male
3,66,female,male
4,67,male,male
4,68,male,male
4,69,female,male
4,70,both,male
4,71,male,female
4,72,male,male
4,73,both,male
4,74,male,male
4,75,male,male
4,76,male,both
4,77,female,female
4,78,male,both
4,79,both,both
4,80,both,male
4,81,male,male
4,82,female,male
4,83,male,both
4,84,male,male
4,85,both,male
4,86,female,female
4,87,female,both
4,88,male,male
5,89,female,female
5,90,female,male
5,91,male,female
5,92,female,female
5,93,male,both
5,94,both,both
5,95,female,female
5,96,female,male
5,97,male,male
5,98,male,male
5,99,female,male
5,100,female,male
5,101,male,male
5,102,female,male
5,103,female,male
5,104,male,male
5,105,male,both
5,106,both,both
5,107,both,male
5,108,male,male
5,109,male,both
5,110,female,female
5,111,male,male
6,112,both,both
6,113,male,both
6,114,male,male
6,115,both,both
6,116,both,both
6,117,female,female
6,118,female,female
6,119,female,female
6,120,female,male
6,121,female,male
6,122,female,male
6,123,male,both
6,124,both,male
6,125,male,both
6,126,female,male
6,127,both,both
6,128,male,female
6,129,female,male
6,130,female,male
6,131,female,both
6,132,both,male
6,133,male,male
6,134,male,female
7,135,female,male
7,136,female,female
7,137,male,female
7,138,male,both
7,139,male,male
7,140,male,male
7,141,male,both
7,142,male,female
7,143,male,female
7,144,male,both
7,145,female,male
7,146,female,male
7,147,male,both
7,148,male,both
7,149,both,male
7,150,
7,151,
7,152,female,male
7,153,male,male
7,154,male,male
7,155,female,male
7,156,female,female
7,157,both,male
8,158,male,male
8,159,male,both
8,160,male,both
8,161,female,male
8,162,male,male
8,163,female,male
8,164,female,female
8,165,male,male
8,166,female,male
8,167,male,male
8,168,male,male
8,169,male,female
8,170,both,male
8,171,both,both
8,172,male,both
8,173,female,female
8,174,female,male
8,175,female,male
8,176,both,male
8,177,male,male
8,178,both,female
8,179,female,both
8,180,both,male
8,181,female,male
9,182,female,both
9,183,male,male
9,184,both,male
9,185,male,male
9,186,both,both
9,187,female,both
9,188,both,both
9,189,both,both
9,190,both,female
9,191,female,male
9,192,male,male
9,193,male,male
9,194,both,male
9,195,female,both
9,196,female,female
9,197,both,both
9,198,both,male
9,199,both,both
9,200,female,male
9,201,male,both
9,202,male,male
9,203,female,male
9,204,male,male
9,205,both,both
10,206,female,male
10,207,male,female
10,208,female,male
10,209,female,female
10,210,male,male
10,211,female,male
10,212,both,both
10,213,both,male
10,214,female,male
10,215,male,male
10,216,female,male
10,217,male,female
10,218,both,female
10,219,both,both
10,220,female,both
10,221,both,male
10,222,male,male
10,223,both,both
10,224,female,male
10,225,female,male
10,226,female,both
10,227,female,both
10,228,female,both
10,229,male,male
11,230,male,female
11,231,female,male
11,232,female,female
11,233,male,male
11,234,male,male
11,235,male,male
11,236,female,male
11,237,male,male
11,238,both,male
11,239,male,male
11,240,female,male
11,241,male,male
11,242,male,male
11,243,female,male
11,244,male,male
11,245,female,male
11,246,female,male
11,247,both,male
11,248,male,male
11,249,male,female
11,250,male,male
11,251,both,male
11,252,female,male
11,253,female,both
12,254,female,both
12,255,male,male
12,256,male,female
12,257,both,male
12,258,female,male
12,259,female,male
12,260,male,both
12,261,female,both
12,262,male,female
12,263,male,male
12,264,male,male
12,265,male,male
12,266,female,male
12,267,female,both
12,268,female,male
12,269,female,female
12,270,female,female
12,271,male,both
12,272,both,male
12,273,female,female
12,274,male,male
12,275,female,male
12,276,female,male
12,277,male,male
13,278,both,male
13,279,female,female
13,280,female,male
13,281,female,male
13,282,female,male
13,283,male,unknown
13,284,both,both
13,285,male,male
13,286,female,male
13,287,both,both
13,288,male,male
13,289,male,male
13,290,male,male
13,291,male,both
13,292,male,female
13,293,female,male
13,294,male,male
13,295,female,male
13,296,female,female
13,297,female,male
13,298,female,male
13,299,both,male
13,300,both,both
13,301,male,male
14,302,female,male
14,303,male,male
14,304,both,male
14,305,female,male
14,306,both,female
14,307,male,male
14,308,female,female
14,309,
14,310,male,female
14,311,male,male
14,312,male,male
14,313,both,male
14,314,female,female
14,315,male,male
14,316,male,male
14,317,male,male
14,318,both,male
14,319,female,male
14,320,male,male
14,321,male,male
14,322,both,male
14,323,female,male
14,324,male,female
14,325,male,female
15,326,female,female
15,327,female,female
15,328,male,male
15,329,both,male
15,330,male,male
15,331,female,male
15,332,female,male
15,333,both,male
15,334,male,both
15,335,both,male
15,336,male,female
15,337,both,male
15,338,male,male
15,339,both,male
15,340,male,female
15,341,male,male
15,342,both,male
15,343,female,male
15,344,both,both
15,345,both,male
15,346,female,male
15,347,male,male
15,348,male,male
15,349,both,male
16,350,female,both
16,351,male,female
16,352,both,male
16,353,male,male
16,354,both,male
16,355,both,female
16,356,female,both
16,357,male,male
16,358,both,male
16,359,female,male
16,360,male,male
16,361,both,both
16,362,male,both
16,363,male,male
16,364,male,female
16,365,both,both
16,366,male,male
16,367,both,male
16,368,both,male
16,369,female,male
16,370,female,female
16,371,both,male
17,372,male,male
17,373,female,both
17,374,female,male
17,375,male,male
17,376,male,female
17,377,male,male
17,378,female,male
17,379,both,both
17,380,both,both
17,381,male,female
17,382,both,male
17,383,male,both
17,384,male,male
17,385,male,female
17,386,female,male
17,387,female,male
17,388,male,male
17,389,female,male
17,390,both,male
17,391,male,male
17,392,male,male
17,393,female,male
18,394,male,female
18,395,female,male
18,396,female,male
18,397,female,male
18,398,both,both
18,399,male,male
18,400,both,both
18,401,female,male
18,402,male,male
18,403,female,female
18,404,male,female
18,405,female,both
18,406,female,male
18,407,male,male
18,408,female,male
18,409,both,male
18,410,both,both
18,411,male,male
19,412,male,male
19,413,male,male
19,414,male,male
19,415,female,female
19,416,male,male
19,417,male,female
19,418,both,male
19,419,both,both
19,420,male,male
19,421,both,male
19,422,both,male
19,423,male,male
19,424,both,
19,425,both,male
19,426,female,male
19,427,male,female
19,428,both,both
19,429,male,male
19,430,both,male
19,431,both,both
19,432,male,male
19,433,male,male
20,434,male,male
20,435,female,female
20,436,male,male
20,437,female,male
20,438,male,male
20,439,male,both
20,440,both,male
20,441,both,male
20,442,both,male
20,443,male,male
20,444,male,both
20,445,female,male
20,446,both,male
20,447,both,male
20,448,female,male
20,449,male,male
20,450,both,male
20,451,male,male
20,452,female,female
20,453,female,both
20,454,male,male
20,455,male,male
20,456,both,male
