season,episode,note
1,9,first computer turned on,first computer interaction onscreen
1,13,"*You know we're living in the computer age?"
1,14,first personal computer
1,15,first detective using a computer
1,19,first victim with computer
1,22,first crime involving computers, Computer Heaven
2,24,first dot-matrix printer
2,25,no computers!
2,29,"*Take lotion... papercuts: no computers before 1974"
2,32,first lawyer using a computer
2,34,first laptop
2,35,first judge with a computer
2,36,first computerized cash register
2,38,first criminal using a computer
2,42,"*Everything's computers now"
2,44,victim dead at computer
3,34,first instance of hacking (by police), first mention of computer passwords
3,46,no computers!
3,49,first graphics program
3,55,no computers!
3,58,"*The computer crashed - I lost 40 pages!"
3,61,no computers!
3,62,"*Even the Cray supercomputer blows a fuse now and then"
3,63,first mention of hackers,'Department of Doom', first mention of BBS, first use of the word 'download'
3,64,no computers!
4,71,first doctor using a computer
4,78,no computers!
4,80,no computers!
4,82,"*I use a laptop computer to write a thesis, I use tools to fix my VCR and my toaster"
4,84,"*Your victim had a 486 machine, state of the art"
4,85,"*We've got all the computer geeks pulling yellows on a kid named Sid","*There are twelve people in that room, not twelve computers"
4,87,no computers!
5,89,first computer on the front of desk
5,92,first person with two computers on one desk
5,93,"*He blanked the screen!"
5,97,"*My son wants a computer."
5,98,"*Dave was a lifer, started here right out of grad school before we got computers."
5,100,first use of Microsoft Word
5,102,first full color screen, first computer video, first 'zoom and enhance'
5,105,first 3d model, first digital photograph
5,107,"*Now Robby works at a computer, thanks to Dr. Colter"
5,108,"*My 14-year-old plays spin the bottle on the computer - I'm telling you, anything's possible", no computers!
5,109,"*My kid tells me to computerize..."
6,112,"*Do not turn off at night"
6,113,first mention of email,"*Me, I used the computer once, lost 27 straight games of solitaire",first mention of cyberspace
6,115,'Byte Head' magazine,"*mega carnage, piece of crap CD-ROM thrasher", 'Internet International Directory'
6,116,"*AOL, Compuserve, Prodigy, what?","*When I first started on the internet, there was nobody out there","*Don't believe everything you read on the computer screen"
6,118,first lieutenant using a computer
6,125,"*He made em up on the computer and we pretended to take em in.", first desktop printer
6,126,no computers!
6,127,first tower, first mouse
6,129,first definitive computer with Windows 95
7,145,first (confirmed) dot matrix printer
7,147,no computers!
7,149,first tablet
7,150,"*I made it up on my computer for the kid.", first computer in courtroom
7,154,no computers!
7,155,first inkjet printer
7,157,first computer speakers, maybe first CD drive
8,158,"*Saturday night was very busy. We had a reading of a cyber-novel by Karten van Dusen."
8,161,Lt. Van Buren gets a new computer (laptop)
8,162,"*Type in what we're looking for, 'eagle graphics' and the motto 'audentes fortuna iuvat', search engine does the rest","*Let's surf the net!","*Nice computer you got there, is that where you keep your virtual clubhouse?","*I'm ready, do you know of any websites where I can find out more?"
8,166,no computers!
8,167,"*They took computer disks!"
8,169,"*No address book, no appointment book -- they're probably all on his hard drive."
8,173,"*You gotta be some kind of computer whiz to do this erasing trick?","*She knows all the software."
8,175,"*Phone sex has been replaced by email sex? Who knew?",first instance of cyber-stalking,"*The guy who bought it installed an 8-gig hard-drive, threw out the old one","*Cons've got computers?",thebaronmuchhumpin.com
8,176,"*Forensics says the letter is computer generated, printed on a garden-variety bubble jet."
8,180,"*You know, he gets something off the internet, the toilet wall..."
8,181,no computers!
8,185,"*Any idiot with a PC and a printer."
9,188,first flatscreen monitor
9,190,no computers!
9,191,"*He's on the internet, he's got a newspaper."
9,193,"*All he did was study or surf the web on my computer.","* Anybody can print this off the net."
9,195,"*Click on 'Utilities'"
9,197,"*Computers crash, cars break down - it happens."
9,201,"*I asked him, what did he think about buying stocks on the internet, he said it was for suckers."
9,203,Gateway 2000
9,205,zoom and enhance
10,206,"*This is more store, I sell through the classifieds on the internet."
10,209,Palm Pilot
10,210,first Mac,iMac G3,"*Hagan was on an online conference to the Philippines, the whole thing was recorded by webcam."
10,212,"*Computer company from hell - I sent my kids' computer in to get fixed and they lost it.","*I told you those gizmos were trouble."
10,213,"*The Rite Aid computer says the receipt was for toilet paper, toothpaste, and some cough medicine."
10,215,"*Oh man, weighs a ton! - Check it out, could be a computer or something."
10,215,"*It's from a computer game called 'Terror'. John told me he plays it on the internet 5, 6 hours a night.","*Talford emailed somebody named 'Doom Master'.",'Death Match','Cyber Mafia',"*She was talkin' internet this, internet that... I don't know much about it."
10,219,"*Real-time webcast... peepshows on the internet.",first direct mention of internet pornography,first mention of chatrooms,"*We were going to set up our own site on the web.","*Pentium 3, 24-gig hard drive - it's all state of the art stuff."
2,221,"*Sean said he had some ideas about the internet, and that he just wanted to take some time to figure out the next step.",HealthRoad2000.com,"*I already had a tech check his systems.","*It seems they ran a Y2K compliance program a few weeks ago."
10,222,first confirmed screenshot of Netscape,Cakewalk ProAudio,first mention of the term 'dotcom'
10,225,no computers!
10,226,first scanner,"*She had this one guy she was chatting up on the internet... She talked to me about email and chats and screen-names - how am I supposed to know about that crap.","*Check the settings for a T3 line.",first mention of 'logging on',"*All my friends have been telling me to shop online - it's great, don't worry about security.",OldBookworm.com,"*I'd say the kid's an internet addict."
10,227,"*We found them in the Computer Center."
11,233,no computers!
11,238,first digitized mugshot
11,239,"*Computer hackers replicate the code, they can fabricate something that fools the scanner."
11,240,"*Some computer billionaire.",CAPP Software Inc,no computers!
11,241,"*I'll get you a printout.","*You know you can get anything you need on the computer with Westlaw."
11,248,morgue gets a computer
11,249,"*My detectives did some digging on the internet..."
11,250,zoom and enhance
11,251,"*Ok, we're going to try to trace the email."
11,253,"*Then her cousin Jeff convinced her to jump on the internet bandwagon. It was a disaster.","*The dot-com cousin.","*Boilerplate websites for public schools."
12,255,"*According to the computer, Mr. Eastman never appeared for his referral to oncology."
